Time,Amb pressure (PSI),Accel Ped. Pos. (%),Boost (PSI),Boost set limit (PSI),Boost target (PSI),Coolant (*C),Cyl1 Timing Cor (*),Ethanol Content (%),Fuel low pressure sensor (PSI),Gear (-),IAT (*C),Lambda bank 1 (AFR),Lambda bank 2 (AFR),Load actual,Load req.,MAF Req (wgdc) (g/s),Oil temp (*C),Rail pressure (PSI),Speed (km/h),Transmission temp (*C),WGDC Bank 1 (%),MHD version 1.91 I8A0S v8.0 Stage 2+ 93oct_98ron
314.323,14.6,16.6,-10.7,22.5,0,97,0,0,0,2,31,234.95,234.95,12.3,12.5,5.7,93,708.3,19,53,45.5,0
314.397,14.6,16.3,-10.6,22.5,0,97,0,0,0,2,31,234.95,234.95,12.4,14.4,5.9,93,762.2,19,53,45.9,0
314.472,14.6,16.3,-10.1,22.5,0,97,0,0,0,2,31,234.95,234.95,15.2,16.9,6.9,93,852.4,19,53,44.9,0
314.552,14.6,16.7,-9.8,22.5,0,97,0,0,0,2,31,234.95,234.95,16.6,17.5,7.3,93,867,18,53,45.9,0
314.623,14.6,19.8,-9.7,22.5,0,97,0,0,0,2,31,232.36,234.95,17,19.1,7.8,93,841.7,18,53,45.6,0
314.696,14.6,23,-9.3,22.5,0,97,0,0,0,2,31,85.89,93.03,18.9,23.4,8.7,93,796,18,53,45.9,0
314.776,14.6,24,-7.8,22.5,0,97,0,0,0,2,31,44.05,48.51,25.9,30.8,11,93,755.1,18,53,49.5,0
314.856,14.6,24.5,-6.6,22.5,0,97,0,0,0,2,31,33.44,36.91,32.4,36,13.6,93,779.9,18,53,51.7,0
314.932,14.6,24.5,-5.7,22.5,0,97,0,0,0,2,31,28.35,27.1,37.5,40.8,16,93,819.6,18,53,53.6,0
315.001,14.6,24.7,-5.1,22.5,0,97,0,0,0,2,31,24.72,22.27,40.5,45.4,18,93,859.4,18,53,49,0
315.071,14.6,24.5,-4,22.5,0,97,0,0,0,2,31,21.01,18.94,46,50.4,20.2,93,885.2,18,53,44.9,0
315.142,14.6,24.2,-3.4,22.5,0,97,0,0,0,2,31,18.54,17.44,48.7,55.1,22.6,93,896.8,18,53,40.6,0
315.212,14.6,23.2,-2.5,22.5,0,97,0,0,0,2,31,16.25,16.53,53.2,59.3,25.3,93,899.4,18,53,38.1,0
315.283,14.6,22,-1.9,22.5,0,97,0,0,0,2,31,15.67,16.33,59,61.2,27.7,93,909.8,18,53,36.5,0
315.367,14.6,20.2,-1.5,22.5,0,97,0,0,0,2,31,15.63,16.38,61,61.6,29.2,93,881,19,53,34.7,0
315.446,14.6,19.6,-1.3,22.5,0,97,0,0,0,2,31,15.33,14.93,57,58.8,29.4,93,868.3,19,53,35.3,0
315.523,14.6,18.8,-1.1,22.5,0,97,0,0,0,2,31,14.87,14.38,59,55.5,29.5,93,876.5,20,53,36.1,0
315.596,14.6,19.1,-1.2,22.5,0,97,0,0,0,2,31,14.9,14.67,55.6,56.7,29.1,93,868.7,20,53,35.6,0
315.677,14.6,19.1,-1.2,22.5,0,97,0,0,0,2,31,15.46,15.42,56.1,55.8,29.2,93,842.3,21,53,36,0
315.753,14.6,19.1,-1.1,22.5,0,97,0,0,0,2,31,15.67,15.46,56.9,57.2,29.9,93,791.2,21,53,34.7,0
315.856,14.6,19.5,-1.1,22.5,0,97,0,0,0,2,31,14.94,15.33,57.1,57.6,31.1,93,751.9,22,53,32.8,0
315.934,14.6,19.8,-1,22.5,0,97,0,0,0,2,31,14.43,14.56,59,60,32.5,93,711.2,22,53,32.7,0
