Time,Amb pressure (PSI),Accel Ped. Pos. (%),Boost (PSI),Boost target (PSI),Coolant (*C),Cyl1 Timing Cor (*),Cyl2 Timing Cor (*),Cyl3 Timing Cor (*),Cyl4 Timing Cor (*),Cyl5 Timing Cor (*),Cyl6 Timing Cor (*),Fuel low pressure sensor (PSI),Gear (-),IAT (*C),Lambda bank 1 (AFR),Lambda bank 2 (AFR),Load actual,Load req.,MAF Req (wgdc) (g/s),Oil temp (*C),Rail pressure (PSI),RPM (RPM),STFT 1 (%),STFT 2 (%),Throttle Position,Timing Cyl. 6 (*CRK),VANOS Ex. Act (*CRK),VANOS Ex. Req (*CRK),VANOS In. Act (*CRK),VANOS In. Req (*CRK),MHD 3.2.0 I8A0S v10.0 stg 1 93_98
783.649,14.7,11.2,-4.8,0,92,0,0,0,0,0,0,85.4,4,20,14.93,14.53,35.1,35.2,39.9,98,698.1,3364,-2.4,-2.4,11,29.2,-83.9,-85.4,81,80.6,0
783.736,14.7,11.2,-4.9,0,92,0,0,0,0,0,0,83.3,4,20,14.93,14.57,35.5,35.2,39.9,98,687.7,3367,-2,-3.3,11,29.2,-83.9,-85.4,82.1,80.6,0
783.879,14.7,11.2,-5,0,92,0,0,0,0,0,0,82.8,4,20,14.56,14.83,35.4,35.2,39.9,98,696.3,3366,-2.7,-3.4,11,29.2,-83.9,-85.4,82.5,80.6,0
783.964,14.7,11.2,-5.1,0,92,0,0,0,0,0,0,84,4,20,14.4,15.04,34.8,35.2,39.9,98,693.8,3372,-3.3,-2.1,10.9,29.2,-83.9,-85.4,82.5,80.6,0
784.072,14.7,11.2,-5,0,92,0,0,0,0,0,0,83.8,4,20,14.44,14.9,35.3,35.1,39.9,98,702.1,3371,-3.2,-3,10.9,30,-83.9,-85.4,82.9,80.6,0
784.587,14.7,11.2,-5,0,92,0,0,0,0,0,0,82,4,20,14.47,14.9,35.3,35.3,40,98,703.5,3384,-3.5,-3.6,10.9,30,-83.9,-85.4,82.1,80.6,0
784.698,14.7,10.6,-5,0,92,0,0,0,0,0,0,82.6,4,20,15.11,14.56,33.8,33.9,38.5,98,704.3,3390,-2.2,-3,10.7,30.4,-85.4,-85.4,79.9,82.1,0
784.801,14.7,10.6,-5.1,0,92,0,0,0,0,0,0,82.9,4,20,14.86,14.86,33.8,33.9,38.5,98,717.3,3387,-1.8,-2.6,10.7,30,-85.4,-85.4,81,82.1,0
785.008,14.7,10.6,-5.3,0,92,0,0,0,0,0,0,83.8,4,20,14.73,15.24,34.1,33.8,38.5,98,708,3382,-1.7,-0.7,10.7,30,-85.8,-85.4,82.1,82.1,0
785.094,14.7,10.2,-5.6,0,92,0,0,0,0,0,0,84.5,4,20,14.67,15.09,34.2,33.7,38.5,98,714.4,3386,-1.5,-1.2,10.7,30,-86.5,-85.4,84.8,82.1,0
785.197,14.7,10.2,-5.7,0,92,0,0,0,0,0,0,84.9,4,20,14.7,15.09,34,33.9,38.5,98,715.2,3391,-1.2,-0.1,10.6,30.4,-88,-85.4,84.8,82.1,0
785.757,14.7,10.6,-5.8,0,92,0,0,0,0,0,0,85.2,4,20,14.9,14.57,33.2,33.9,38.4,98,726,3391,-1.2,-1.5,10.7,30,-88,-85.4,84,82.1,0
785.878,14.7,10.6,-5.3,0,92,0,0,0,0,0,0,84.2,4,20,14.5,15.04,33.8,33.9,38.7,98,734,3402,-1.6,-1,10.8,30,-86.9,-85.4,81,82.1,0
786.03,14.7,10.2,-5.3,0,92,0,0,0,0,0,0,83.8,4,20,14.44,15.04,33.5,33.1,38.6,98,734,3397,-2,-1.2,10.8,30.4,-85.4,-85.4,81.8,82.1,0
786.138,14.7,9.9,-5.5,0,92,0,0,0,0,0,0,83.1,4,20,14.51,14.9,32.8,32.4,37.5,98,726.9,3397,-1.5,-1.7,10.4,30.4,-85.4,-85.4,82.9,83.6,0
786.667,14.7,9.9,-5.6,0,92,0,0,0,0,0,0,83.8,4,20,14.73,14.93,32.7,32.5,37.2,98,739.9,3405,-1.3,-0.3,10.4,30.8,-85.4,-85.4,83.2,82.9,0
787.362,14.7,0,-11.4,0,92,0,0,0,0,0,0,84.9,4,20,14.23,13.54,13,13.8,17.7,98,678.9,3384,-7.5,-15.5,5.5,15.8,-110.9,-110.1,117.8,114.8,0
787.454,14.7,0,-11.4,0,92,0,0,0,0,0,0,83.3,4,20,14.21,14.7,13,12.5,15.1,98,687.6,3436,-7.6,0.4,5.6,15.8,-110.5,-110.1,115.5,114.8,0
787.964,14.7,0,-11.5,0,92,0,0,0,0,0,0,83.7,4,20,15.29,17.38,12.2,11.3,13.7,98,733.8,3377,1,21.4,5.1,14.6,-110.5,-110.1,115.9,114.8,0
788.693,14.7,0,-11.6,0,92,0,0,0,0,0,0,83.8,4,20,234.95,234.95,11,11.1,12.5,98,819.6,3332,0,0,4.9,5.6,-111.2,-110.1,115.1,114.8,0
788.779,14.7,0,-11.6,0,92,0,0,0,0,0,0,83.7,4,20,234.95,234.95,10.8,11.1,12.4,98,818.2,3306,0,0,4.9,5.2,-112,-110.1,115.5,114.8,0
789.164,14.7,0,-11.5,0,92,0,0,0,0,0,0,84,4,20,234.95,234.95,11,11.1,12.3,98,813.9,3279,0,0,4.9,5.2,-111.2,-110.1,115.1,114.8,0
789.269,14.7,0.6,-11.5,0,92,0,0,0,0,0,0,83.8,4,20,234.95,234.95,11,11.1,12.3,98,812.4,3277,0,0,4.9,5.2,-111.2,-110.1,114.4,114.8,0
789.37,14.7,10.6,-11.6,0,92,0,0,0,0,0,0,83.3,4,20,234.95,234.95,11.1,11.3,12.4,98,785.6,3288,0,0,4.9,8.2,-111.2,-110.1,115.1,114.8,0
789.512,14.7,68.3,-10.6,0,92,0,0,0,0,0,0,83.7,4,20,234.95,50.81,16.2,24.4,17.5,98,883.5,3281,0,0,9,15.8,-110.9,-104.5,115.1,106.9,0
789.604,14.7,99.6,-0.8,7.9,92,0,0,0,0,0,0,78.7,4,20,19.73,18.43,67.5,116.3,84.3,98,979.9,3324,0,0,46.2,7.1,-109,-111.6,111.4,84.4,0
789.708,14.7,99.6,-0.2,10.4,92,0,0,0,0,0,0,82.6,4,20,13.29,13.95,72.6,141.2,125,98,1369.6,3352,0,-4.4,77.6,15.4,-107.9,-111.6,105,84.4,0
789.808,14.7,99.6,1.5,10.9,92,0,0,0,0,0,0,86.1,4,20,13.95,13.78,88,189.6,174.4,98,1553.3,3347,-3.8,-3.9,80.2,18,-109.4,-111.6,97.1,84.4,0
790.024,14.7,99.6,5.7,12.5,92,0,0,0,0,0,0,85.2,4,20,13.14,13.06,122.3,189.6,215,98,2037.7,3394,-5.9,-7.3,81.1,12,-107.9,-104.5,84,84.4,0
790.267,14.7,99.6,8.9,13.4,92,0,0,0,0,0,0,82.9,4,20,13.14,13.09,144.4,189.6,221.1,98,2539.5,3425,-9.4,-10.3,81.1,9.8,-104.5,-102.6,85.5,86.2,0
790.381,14.7,99.6,14.5,13.5,92,0,0,0,0,0,0,91.8,4,20,12.72,12.59,184.2,189.6,228.1,98,2554.9,3502,-13.4,-15.4,62.7,6.8,-97.4,-101.9,86.2,86.2,0
790.536,14.7,99.6,13.7,13.5,92,0,0,0,0,0,0,78.5,4,20,13.31,13.95,177.6,189,231.3,98,2386.2,3545,-11.3,-5.1,31.6,7.5,-98.9,-103.8,86.6,87,0
790.62,14.7,99.6,13.5,13.5,92,0,0,0,0,0,0,87.5,4,21,13.38,12.95,175.9,188.6,234.2,98,2344.8,3578,-7,-6.3,36.8,7.5,-101.9,-103.8,87,87,0
790.723,14.7,99.6,13.5,13.5,92,0,0,0,0,0,0,70.7,4,20,13.26,12.98,175.5,188.1,235.9,98,2271.2,3616,-5.5,-6.7,43.1,7.5,-103,-104.5,85.9,87,0
791.234,14.7,99.6,13.5,13.5,92,0,0,0,0,0,0,82.6,4,20,12.98,12.86,174.3,187.6,237.7,98,2279.2,3660,-5.5,-6.9,79.8,7.5,-103.4,-105.2,85.9,87.8,0
791.884,14.7,99.6,13.1,13.5,92,0,0,0,0,0,0,82.6,4,20,12.59,12.72,165.7,184.8,258.2,98,2292.9,3992,-5,-4.3,81,7.5,-109.4,-110.9,90,89.2,0
792.044,14.7,99.6,13.1,13.5,92,0,0,0,0,0,0,95,4,20,12.68,12.76,165.6,184.5,259.4,98,2330,4027,-4.6,-3,81,6.8,-109.8,-111.6,90,90,0
792.22,14.7,99.6,13.1,13.5,92,0,0,0,0,0,0,90.5,4,20,12.56,12.58,165.3,183.6,262.4,98,2301.4,4097,-4.7,-2.5,79.4,6.8,-109.4,-111.6,90.4,90.8,0
792.407,14.7,99.6,13.1,13.5,92,0,0,0,0,0,0,65.4,4,20,12.46,12.5,165.1,183.4,264.7,98,2259.9,4127,-4.9,-1.4,79.1,6.8,-110.9,-111.6,91.1,91.9,0
792.58,14.7,99.6,13.1,13.5,92,0,0,0,0,0,0,93.5,4,20,12.52,12.32,165.3,182.7,267.9,98,2277,4173,-4.1,-2.3,81,6.8,-112,-111.6,91.9,92.6,0
792.782,14.7,99.6,12.7,13.5,92,0,0,0,0,0,0,86.3,4,20,12.33,12.32,161.8,181.9,271.2,98,2257.4,4239,-4.3,-2.5,81.1,7.5,-112.4,-111.6,91.9,93.4,0
793.086,14.7,99.6,12.8,13.5,92,0,0,0,0,0,0,76.6,4,20,12.55,12.5,161.3,181.1,274.5,99,2298.7,4313,-2.9,-1.4,81,7.5,-110.9,-111.6,94.5,94.9,0
793.263,14.7,99.6,13,13.5,92,0,0,0,0,0,0,81.9,4,20,12.28,12.22,161.3,179.8,279,99,2273.7,4429,-2.9,-1.4,81,7.5,-112,-111.6,96,96.4,0
793.442,14.7,99.6,13,13.5,92,0,0,0,0,0,0,87,4,20,12.18,12.16,161.3,179.5,281.4,99,2304.3,4447,-3.7,-1.8,81,7.5,-110.9,-111.6,97.5,96.4,0
793.607,14.7,99.6,13,13.5,92,0,0,0,0,0,0,68.8,4,20,12.1,12.06,160.6,178.7,284,99,2262,4522,-4.1,-2.5,81,6.8,-112,-111.6,97.9,98.2,0
793.711,14.7,99.6,13,13.5,92,0,0,0,0,0,0,84.4,4,21,12.07,12.13,160.7,177.6,286.3,99,2234.8,4587,-4.6,-2.1,81,6.8,-110.9,-111.6,98.2,99,0
